framework,transmission,tagLength,immunity,penalty,survived,peak_sick_percentage,avg_sick_percentage,final_population,final_gini,final_happiness,total_deaths,duration_seconds,delta_final_gini,delta_final_happiness,count
altruist,0.1,21.0,35.0,0.25,1.0,0.0,0.0,141.0,0.285,1.02,109.0,9.6,-0.015,-0.03,1
altruist,0.1,21.0,35.0,0.5,1.0,0.0,0.0,141.0,0.285,1.02,109.0,9.1,-0.015,-0.03,1
altruist,0.1,21.0,60.0,0.0,1.0,2.45,0.0141558441558441,158.0,0.299,0.99,92.0,9.3,-0.001,-0.06,1
altruist,0.1,21.0,60.0,0.001,1.0,0.0,0.0,153.0,0.29,1.02,97.0,9.0,-0.01,-0.03,1
altruist,0.1,21.0,60.0,0.0025,1.0,0.0,0.0,153.0,0.29,1.02,97.0,8.4,-0.01,-0.03,1
altruist,0.1,21.0,60.0,0.005,1.0,0.0,0.0,153.0,0.29,1.02,97.0,9.1,-0.01,-0.03,1
altruist,0.1,21.0,60.0,0.01,1.0,0.0,0.0,153.0,0.29,1.02,97.0,9.1,-0.01,-0.03,1
altruist,0.1,21.0,60.0,0.1,1.0,0.0,0.0,153.0,0.29,1.02,97.0,10.6,-0.01,-0.03,1
altruist,0.1,21.0,60.0,0.25,1.0,0.0,0.0,153.0,0.29,1.02,97.0,9.9,-0.01,-0.03,1
altruist,0.1,21.0,60.0,0.5,1.0,0.0,0.0,153.0,0.29,1.02,97.0,8.5,-0.01,-0.03,1
altruist,0.3,5.0,10.0,0.0,1.0,2.4,0.0023976023976023,153.0,0.292,1.03,97.0,8.6,-0.008,-0.02,1
altruist,0.3,5.0,10.0,0.001,1.0,0.0,0.0,156.0,0.303,1.05,94.0,8.8,0.003,0.0,1
altruist,0.3,5.0,10.0,0.0025,1.0,0.0,0.0,156.0,0.303,1.05,94.0,10.0,0.003,0.0,1
altruist,0.3,5.0,10.0,0.005,1.0,0.0,0.0,156.0,0.303,1.05,94.0,10.6,0.003,0.0,1
altruist,0.3,5.0,10.0,0.01,1.0,0.0,0.0,156.0,0.303,1.05,94.0,10.4,0.003,0.0,1
altruist,0.3,5.0,10.0,0.1,1.0,0.0,0.0,156.0,0.303,1.05,94.0,8.8,0.003,0.0,1
altruist,0.3,5.0,10.0,0.25,1.0,0.0,0.0,156.0,0.303,1.05,94.0,9.2,0.003,0.0,1
altruist,0.3,5.0,10.0,0.5,1.0,0.0,0.0,156.0,0.303,1.05,94.0,10.4,0.003,0.0,1
altruist,0.3,5.0,35.0,0.0,1.0,2.0,0.0019980019980019,145.0,0.287,1.03,105.0,9.7,-0.013,-0.02,1
altruist,0.3,5.0,35.0,0.001,1.0,0.0,0.0,145.0,0.279,1.02,105.0,10.1,-0.0209999999999999,-0.03,1
altruist,0.3,5.0,35.0,0.0025,1.0,0.0,0.0,145.0,0.279,1.02,105.0,9.7,-0.0209999999999999,-0.03,1
altruist,0.3,5.0,35.0,0.005,1.0,0.0,0.0,145.0,0.279,1.02,105.0,9.1,-0.0209999999999999,-0.03,1
altruist,0.3,5.0,35.0,0.01,1.0,0.0,0.0,145.0,0.279,1.02,105.0,8.6,-0.0209999999999999,-0.03,1
altruist,0.3,5.0,35.0,0.1,1.0,0.0,0.0,145.0,0.279,1.02,105.0,8.6,-0.0209999999999999,-0.03,1
altruist,0.3,5.0,35.0,0.25,1.0,0.0,0.0,145.0,0.279,1.02,105.0,8.3,-0.0209999999999999,-0.03,1
altruist,0.3,5.0,35.0,0.5,1.0,0.0,0.0,145.0,0.279,1.02,105.0,8.8,-0.0209999999999999,-0.03,1
altruist,0.3,5.0,60.0,0.0,1.0,2.4,0.0027972027972027,154.0,0.287,1.0,96.0,9.1,-0.013,-0.05,1
altruist,0.3,5.0,60.0,0.001,1.0,0.0,0.0,155.0,0.29,0.95,95.0,9.6,-0.01,-0.1,1
altruist,0.3,5.0,60.0,0.0025,1.0,0.0,0.0,155.0,0.29,0.95,95.0,10.0,-0.01,-0.1,1
altruist,0.3,5.0,60.0,0.005,1.0,0.0,0.0,155.0,0.29,0.95,95.0,8.5,-0.01,-0.1,1
altruist,0.3,5.0,60.0,0.01,1.0,0.0,0.0,155.0,0.29,0.95,95.0,10.6,-0.01,-0.1,1
altruist,0.3,5.0,60.0,0.1,1.0,0.0,0.0,155.0,0.29,0.95,95.0,8.9,-0.01,-0.1,1
altruist,0.3,5.0,60.0,0.25,1.0,0.0,0.0,155.0,0.29,0.95,95.0,10.5,-0.01,-0.1,1
altruist,0.3,5.0,60.0,0.5,1.0,0.0,0.0,155.0,0.29,0.95,95.0,10.6,-0.01,-0.1,1
altruist,0.3,13.0,10.0,0.0,1.0,100.0,98.03724275724277,153.0,0.3,-0.98,97.0,11.9,0.0,-2.03,1
altruist,0.3,13.0,10.0,0.001,1.0,0.0,0.0,152.0,0.297,1.05,98.0,8.5,-0.003,0.0,1
altruist,0.3,13.0,10.0,0.0025,1.0,0.0,0.0,152.0,0.297,1.05,98.0,9.0,-0.003,0.0,1
altruist,0.3,13.0,10.0,0.005,1.0,0.0,0.0,152.0,0.297,1.05,98.0,10.2,-0.003,0.0,1
altruist,0.3,13.0,10.0,0.01,1.0,0.0,0.0,152.0,0.297,1.05,98.0,9.9,-0.003,0.0,1
altruist,0.3,13.0,10.0,0.1,1.0,0.0,0.0,152.0,0.297,1.05,98.0,10.3,-0.003,0.0,1
altruist,0.3,13.0,10.0,0.25,1.0,0.0,0.0,152.0,0.297,1.05,98.0,10.0,-0.003,0.0,1
altruist,0.3,13.0,10.0,0.5,1.0,0.0,0.0,152.0,0.297,1.05,98.0,9.4,-0.003,0.0,1
altruist,0.3,13.0,35.0,0.0,1.0,2.0,0.0051948051948051,147.0,0.279,1.03,103.0,8.6,-0.0209999999999999,-0.02,1
altruist,0.3,13.0,35.0,0.001,1.0,0.0,0.0,144.0,0.287,1.01,106.0,8.5,-0.013,-0.04,1
altruist,0.3,13.0,35.0,0.0025,1.0,0.0,0.0,144.0,0.287,1.01,106.0,8.0,-0.013,-0.04,1
altruist,0.3,13.0,35.0,0.005,1.0,0.0,0.0,144.0,0.287,1.01,106.0,10.1,-0.013,-0.04,1
altruist,0.3,13.0,35.0,0.01,1.0,0.0,0.0,144.0,0.287,1.01,106.0,8.6,-0.013,-0.04,1
altruist,0.3,13.0,35.0,0.1,1.0,0.0,0.0,144.0,0.287,1.01,106.0,9.0,-0.013,-0.04,1
altruist,0.3,13.0,35.0,0.25,1.0,0.0,0.0,144.0,0.287,1.01,106.0,9.5,-0.013,-0.04,1
altruist,0.3,13.0,35.0,0.5,1.0,0.0,0.0,144.0,0.287,1.01,106.0,8.0,-0.013,-0.04,1
altruist,0.3,13.0,60.0,0.0,1.0,2.73,0.0249350649350649,159.0,0.297,0.99,91.0,10.8,-0.003,-0.06,1
altruist,0.3,13.0,60.0,0.001,1.0,0.0,0.0,155.0,0.292,1.06,95.0,8.9,-0.008,0.01,1
altruist,0.3,13.0,60.0,0.0025,1.0,0.0,0.0,155.0,0.292,1.06,95.0,10.0,-0.008,0.01,1
altruist,0.3,13.0,60.0,0.005,1.0,0.0,0.0,155.0,0.292,1.06,95.0,10.5,-0.008,0.01,1
altruist,0.3,13.0,60.0,0.01,1.0,0.0,0.0,155.0,0.292,1.06,95.0,10.4,-0.008,0.01,1
altruist,0.3,13.0,60.0,0.1,1.0,0.0,0.0,155.0,0.292,1.06,95.0,8.6,-0.008,0.01,1
altruist,0.3,13.0,60.0,0.25,1.0,0.0,0.0,155.0,0.292,1.06,95.0,9.2,-0.008,0.01,1
altruist,0.3,13.0,60.0,0.5,1.0,0.0,0.0,155.0,0.292,1.06,95.0,11.3,-0.008,0.01,1
